Country Name,Country Code,Time,Time Code,Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT]
China,CHN,1990,YR1990,34.08361405,25600281.09,126788
China,CHN,1991,YR1991,33.25847354,26528968.59,125165
China,CHN,1992,YR1992,32.9312779,27001548.58,132601
China,CHN,1993,YR1993,31.6777918,28378707.89,151962
China,CHN,1994,YR1994,31.24948417,28961956.47,167905
China,CHN,1995,YR1995,29.47211139,30899713.56,193662
China,CHN,1996,YR1996,30.53717546,29871187.7,189606
China,CHN,1997,YR1997,30.18348168,30299473.39,198922
China,CHN,1998,YR1998,29.73990148,30588524.33,210864
China,CHN,1999,YR1999,30.50604898,29708163.8,206838
China,CHN,2000,YR2000,29.73071484,30187188.73,225588
China,CHN,2001,YR2001,28.45581538,30940867.04,280766
China,CHN,2002,YR2002,27.09820152,32272543.97,291441
China,CHN,2003,YR2003,23.94657959,35505254.39,287321
China,CHN,2004,YR2004,20.24947926,41469975.08,357480
China,CHN,2005,YR2005,18.20381865,45785223.21,404451
China,CHN,2006,YR2006,17.09461008,49175114.02,446882
China,CHN,2007,YR2007,15.34937114,52829271.79,500911
China,CHN,2008,YR2008,14.60199657,54691192.12,614990
China,CHN,2009,YR2009,13.91196227,56930962.32,663651
China,CHN,2010,YR2010,12.88431031,61093297.29,781638
China,CHN,2011,YR2011,11.69579699,65459079.1,788618
China,CHN,2012,YR2012,11.96856703,67426526.34,995264
China,CHN,2013,YR2013,11.8381669,69906541.02,1103418
China,CHN,2014,YR2014,12.22382301,71536310.66,1280977
China,CHN,2015,YR2015,12.41335257,73183146.53,1398321
China,CHN,2016,YR2016,..,..,..
Indonesia,IDN,1990,YR1990,58.59753114,3036636.468,6833
Indonesia,IDN,1991,YR1991,57.82874174,3138269.908,7676
Indonesia,IDN,1992,YR1992,56.82076894,3260328.986,9896
Indonesia,IDN,1993,YR1993,55.4330117,3393351.619,8978
Indonesia,IDN,1994,YR1994,52.81378848,3609000.708,8041
